domain,coverage,percentage,medianrank
repo1.maven.org,1,0.1%,6
dataminelab.com,1,0.1%,6
discuss.elastic.co,1,0.1%,6
bigdatanews.datasciencecentral.com,1,0.1%,6
bigdatadecode.club,1,0.1%,6
naukri.com,1,0.1%,6
devilkirin.iteye.com,1,0.1%,6
loongnix.org,1,0.1%,6
roseindia.net,1,0.1%,6
james-murphy.net,1,0.1%,6
drupal.org,1,0.1%,6
portal.tacc.utexas.edu,1,0.1%,6
cognitiveclass.ai,1,0.1%,6
geomesa.org,1,0.1%,6
weka.sourceforge.net,1,0.1%,6
bogotobogo.com,1,0.1%,6
biostar.usegalaxy.org,1,0.1%,6
drill.apache.org,1,0.1%,6
habrahabr.ru,1,0.1%,6
macs.hw.ac.uk,1,0.1%,6
doc.qt.io,1,0.1%,6
network.informatica.com,1,0.1%,6
3pillarglobal.com,1,0.1%,6
learnquest.com,1,0.1%,7
splunkbase.splunk.com,1,0.1%,7
sunlab.org,1,0.1%,7
dev.classmethod.jp,1,0.1%,7
lewuathe.com,1,0.1%,7
docs.datadoghq.com,1,0.1%,7
centrify.com,1,0.1%,7
joshlong.com,1,0.1%,7
engineering.skybettingandgaming.com,1,0.1%,7
hadoopjournal.wordpress.com,1,0.1%,7
macalester.edu,1,0.1%,7
splunk.com,1,0.1%,7
visualcron.com,1,0.1%,7
oraclealchemist.com,1,0.1%,7
brightcomputing.com,1,0.1%,7
semantikoz.com,1,0.1%,7
slaconsultantsindia.com,1,0.1%,7
intel.com,1,0.1%,7
beam.apache.org,1,0.1%,7
bluedata.com,1,0.1%,7
cs.cmu.edu,1,0.1%,7
moi.vonos.net,1,0.1%,7
neo4j.com,1,0.1%,7
tech.marksblogg.com,1,0.1%,7
katta.sourceforge.net,1,0.1%,7
datascience-enthusiast.com,1,0.1%,7
repositorio.unicamp.br,1,0.1%,7
forge.puppet.com,1,0.1%,7
impala.apache.org,1,0.1%,7
support.rackspace.com,1,0.1%,7
docs.mesosphere.com,1,0.1%,7
resources.zaloni.com,1,0.1%,7
hc.apache.org,1,0.1%,7
stuartsierra.com,1,0.1%,7
netty.io,1,0.1%,7
chrisstucchio.com,1,0.1%,7
groups.google.com,1,0.1%,7
c-for-dummies.com,1,0.1%,7
voidcn.com,1,0.1%,7
alluxio.com,1,0.1%,8
azure.cn,1,0.1%,8
docs.rapidminer.com,1,0.1%,8
odbms.org,1,0.1%,8
bradhedlund.com,1,0.1%,8
blog.selfup.cn,1,0.1%,8
analyticstraining.com,1,0.1%,8
devmedia.com.br,1,0.1%,8
cs.utexas.edu,1,0.1%,8
cs.rutgers.edu,1,0.1%,8
hifreud.com,1,0.1%,8
usenix.org,1,0.1%,8
novetta.com,1,0.1%,8
db-blog.web.cern.ch,1,0.1%,8
community.teradata.com,1,0.1%,8
garygregory.wordpress.com,1,0.1%,8
citi.sites.clemson.edu,1,0.1%,8
dl.acm.org,1,0.1%,8
infosys.com,1,0.1%,8
aster-community.teradata.com,1,0.1%,8
semantive.com,1,0.1%,8
mindmajix.com,1,0.1%,8
attunity.com,1,0.1%,8
knowm.org,1,0.1%,8
danielnee.com,1,0.1%,8
cs.colorado.edu,1,0.1%,8
kafka.apache.org,1,0.1%,8
portal.futuresystems.org,1,0.1%,8
sparktutorials.net,1,0.1%,8
tikalk.com,1,0.1%,8
xplenty.com,1,0.1%,8
knox.apache.org,1,0.1%,8
hops.readthedocs.io,1,0.1%,8
support.f5.com,1,0.1%,8
apache-spark-user-list.1001560.n3.nabble.com,1,0.1%,8
markhneedham.com,1,0.1%,8
datatorrent.com,1,0.1%,9
facebook.com,1,0.1%,9
flink.apache.org,1,0.1%,9
lihaoyi.com,1,0.1%,9
pdl.cmu.edu,1,0.1%,9
bitsighttech.com,1,0.1%,9
cd-docdb.fnal.gov,1,0.1%,9
apache-phoenix-user-list.1124778.n5.nabble.com,1,0.1%,9
sachinpbuzz.com,1,0.1%,9
vldb.org,1,0.1%,9
benniehaelen.com,1,0.1%,9
bigdatatrainingkolkata.blogspot.com,1,0.1%,9
info.teradata.com,1,0.1%,9
davebeulke.com,1,0.1%,9
smartcitychina.cn,1,0.1%,9
physics.purdue.edu,1,0.1%,9
ic.unicamp.br,1,0.1%,9
cse.ust.hk,1,0.1%,9
www-us.apache.org,1,0.1%,9
glassdoor.com,1,0.1%,9
hindawi.com,1,0.1%,9
nycdatascience.com,1,0.1%,9
itversity.com,1,0.1%,9
codingwiththomas.blogspot.com,1,0.1%,9
eclipsecon.org,1,0.1%,9
systutorials.com,1,0.1%,9
dataversity.net,1,0.1%,9
conferences.sigcomm.org,1,0.1%,9
au.linkedin.com,1,0.1%,9
letsdobigdata.wordpress.com,1,0.1%,9
solrtutorial.com,1,0.1%,9
shzhangji.com,1,0.1%,9
kalyanhadooptraining.com,1,0.1%,9
cnet.com,1,0.1%,9
datanami.com,1,0.1%,9
gurucul.com,1,0.1%,9
bigdata-madesimple.com,1,0.1%,9
blog.father.gedow.net,1,0.1%,9
yegor256.com,1,0.1%,9
eu.api.soyoustart.com,1,0.1%,9
kickstarthadoop.blogspot.com,1,0.1%,9
raseshmori.wordpress.com,1,0.1%,9
packages.debian.org,1,0.1%,9
support.pentaho.com,1,0.1%,9
ne.jp,1,0.1%,9
diveintohadoop.wordpress.com,1,0.1%,9
rainerpeter.wordpress.com,1,0.1%,9
well.ox.ac.uk,1,0.1%,9
workman666.iteye.com,1,0.1%,9
crs4.github.io,1,0.1%,9
information-technology.web.cern.ch,1,0.1%,9
trustradius.com,1,0.1%,9
bigdatastudy.net,1,0.1%,9
crazyadmins.com,1,0.1%,9
tinkerpop.apache.org,1,0.1%,9
hop2croft.wordpress.com,1,0.1%,10
blog.pureisle.net,1,0.1%,10
php.net,1,0.1%,10
importnew.com,1,0.1%,10
wiki.hpc.arcs.njit.edu,1,0.1%,10
docs.wandisco.com,1,0.1%,10
fachschaft.informatik.tu-darmstadt.de,1,0.1%,10
lopakalogic.com,1,0.1%,10
wiki.openstreetmap.org,1,0.1%,10
research.neustar.biz,1,0.1%,10
blog.chinaunix.net,1,0.1%,10
javarevisited.blogspot.com,1,0.1%,10
chirimoyo.ac.uma.es,1,0.1%,10
devblog.mediamath.com,1,0.1%,10
sotera.github.io,1,0.1%,10
kuqin.com,1,0.1%,10
docs.azure.cn,1,0.1%,10
mospace.umsystem.edu,1,0.1%,10
consul.io,1,0.1%,10
jerrylead.iteye.com,1,0.1%,10
mwsoft.jp,1,0.1%,10
jayunit100.blogspot.com,1,0.1%,10
linode.com,1,0.1%,10
people.eecs.berkeley.edu,1,0.1%,10
isical.ac.in,1,0.1%,10
debugo.com,1,0.1%,10
corvil.com,1,0.1%,10
cloud.google.com,1,0.1%,10
openkb.info,1,0.1%,10
nuget.org,1,0.1%,10
tenable.com,1,0.1%,10
sujee.net,1,0.1%,10
dl.ifip.org,1,0.1%,10
onlinehelp.tableau.com,1,0.1%,10
findjar.com,1,0.1%,10
seclist.us,1,0.1%,10
softwareengineering.stackexchange.com,1,0.1%,10
docs.datatorrent.com,1,0.1%,10
blog.ring.idv.tw,1,0.1%,10
prometheus.io,1,0.1%,10
opensourceconnections.com,1,0.1%,10
ambari.apache.org,1,0.1%,10
eagle.apache.org,1,0.1%,10
itcentralstation.com,1,0.1%,10
data-informed.com,1,0.1%,10
51studyit.com,1,0.1%,10
ptgmedia.pearsoncmg.com,1,0.1%,10
storm.apache.org,1,0.1%,10
tensorflow.org,1,0.1%,10
my.oschina.net,1,0.1%,10
ghostar.org,1,0.1%,10
jujucharms.com,1,0.1%,10
internshala.com,1,0.1%,10
twitter.github.io,1,0.1%,10
bleepingcomputer.com,1,0.1%,10
bitrefinery.com,1,0.1%,10
raviprak.com,1,0.1%,10
docs.python.org,1,0.1%,10
www-eu.apache.org,1,0.1%,10
datasciencecentral.com,1,0.1%,10
ja.stackoverflow.com,1,0.1%,10
cs.brandeis.edu,1,0.1%,10
threatstack.com,1,0.1%,10
ccl.cse.nd.edu,1,0.1%,10
greycampus.com,1,0.1%,10
atscale.com,1,0.1%,10
jazzjuice.blogspot.com,1,0.1%,10
en.community.dell.com,1,0.1%,10
jupyterhub.readthedocs.io,1,0.1%,10
